Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Ashley Lelie,DEN,25,WR,16,13,5,84,0,5,39,16.8,5.3,0
Lee Evans,BUF,24,WR,16,15,4,38,0,2,39,9.5,2.4,0
Jabar Gaffney,HOU,25,WR,16,13,4,13,0,1,10,3.3,0.8,0
Kyle Johnson,DEN,27,FB,16,14,4,9,1,3,4,2.3,0.6,0
Eric Parker,SDG,26,WR,15,9,4,55,0,3,30,13.8,3.7,2
Steve Smith Sr.*+,CAR,26,WR,16,16,4,25,1,2,20,6.3,1.6,2
Roddy White,ATL,24,WR,16,8,4,12,0,1,16,3.0,0.8,1
Dan Kreider,PIT,28,FB,16,8,3,21,0,1,12,7.0,1.3,0
Santana Moss*,WAS,26,WR,16,16,3,-3,0,0,3,-1.0,-0.2,3
Hines Ward,PIT,29,WR,15,15,3,10,0,1,7,3.3,0.7,1
Nate Burleson,MIN,24,WR,12,9,2,-6,0,0,-2,-3.0,-0.5,0
Donald Driver,GNB,30,WR,16,16,2,13,0,0,9,6.5,0.8,0
Joey Galloway,TAM,34,WR,16,16,2,4,0,0,4,2.0,0.3,0
David Givens,NWE,25,WR,13,10,2,13,0,0,9,6.5,1.0,0
Terry Glenn,DAL,31,WR,16,16,2,-4,1,1,6,-2.0,-0.3,0
Greg Lewis,PHI,25,WR,16,16,2,13,0,0,8,6.5,0.8,0
Keenan McCardell,SDG,35,WR,16,16,2,6,0,0,3,3.0,0.4,0
Dennis Northcutt,CLE,28,WR,16,7,2,33,0,1,31,16.5,2.1,0
Donte' Stallworth,NOR,25,WR,16,13,2,2,0,0,3,1.0,0.1,1
Travis Taylor,MIN,27,WR,16,13,2,3,0,0,5,1.5,0.2,1
Drew Bennett,TEN,27,WR,13,10,1,3,0,0,3,3.0,0.2,0
Reggie Brown,PHI,24,WR,16,11,1,5,0,0,5,5.0,0.3,1
Antonio Bryant,CLE,24,WR,16,15,1,3,0,0,3,3.0,0.2,1
Michael Clayton,TAM,23,WR,14,10,1,2,0,0,2,2.0,0.1,1
Keary Colbert,CAR,23,WR,16,16,1,6,0,0,6,6.0,0.4,1
Kevin Curtis,STL,27,WR,16,9,1,5,1,1,5,5.0,0.3,2
William Henderson,GNB,34,FB,16,8,1,-5,0,0,-5,-5.0,-0.3,1
Torry Holt*,STL,29,WR,14,14,1,2,0,0,2,2.0,0.1,2
Bryan Johnson,CHI,27,FB,7,6,1,5,0,0,5,5.0,0.7,0
Keyshawn Johnson,DAL,33,WR,16,14,1,3,0,0,3,3.0,0.2,3
Brandon Jones,TEN,23,WR,10,8,1,1,0,0,1,1.0,0.1,0
Brandon Manumaleuna,STL,25,TE,14,14,1,2,0,1,2,2.0,0.1,2
Justin McCareins,NYJ,27,WR,16,16,1,8,0,0,8,8.0,0.5,0
Jerry Porter,OAK,27,WR,16,14,1,-8,0,0,-8,-8.0,-0.5,1
Cory Schlesinger,DET,33,FB,11,8,1,1,0,1,1,1.0,0.1,0
Daimon Shelton,BUF,33,FB,16,11,1,0,0,0,0,0.0,0.0,1
Rod Smith*,DEN,35,WR,16,16,1,7,0,0,7,7.0,0.4,2
Jerald Sowell,NYJ,31,FB,16,14,1,1,1,1,1,1.0,0.1,1
Scottie Vines,DET,26,WR,13,11,1,7,0,0,7,7.0,0.5,0
